CZP -> Magnus Liljedahl AB - avstamning skuld och ranta;;;;;;
Underlag: SIE4 konto 2890, rakenskapsar 2020-2026 (Fortnox). Avstamningsdag 2026-06-30;;;;;;
Ranta 4,00% p.a., actual/365, pa utestaende kapital. Ha Bra Liv raknat INKL moms.;;;;;;
;;;;;;
DEL 1 - KAPITALRORELSER;;;;;;
Datum;Ver;Typ;Rorelse;varav moms tillagd;Utestaende kapital;Text
2026-06-22;A166;Amortering;25 000,00;0,00;3 109 355,00;Åter Lån liljedahl / CREATION ZERO POINT HOLDING AB
2026-06-30;D79;Kvittning Ha Bra Liv;6 000,00;1 200,00;3 103 355,00;Levfakt Ha Bra Liv Stockholm AB (886)
;;KAPITAL PER 2026-06-30;;;3 103 355,00;
;;;;;;
DEL 2 - RANTA;;;;;;
Ar;Upplupen ranta 4%;Redan fakturerad (konto 8420);Diff att erkanna;;;
2020;4 558,90;0,00;4 558,90;;;
2021;52 000,00;90 331,00;-38 331,00;;;
2022;73 986,85;60 000,00;13 986,85;;;
2023;144 717,81;185 994,00;-41 276,19;;;
2024;120 328,77;0,00;120 328,77;;;
2025;130 204,40;0,00;130 204,40;;;
2026;63 005,14;0,00;63 005,14;;;
SUMMA;588 801,87;336 325,00;252 476,87;;;
;;;;;;
DEL 3 - TOTALT ATT ERKANNA (CZP:s position, vald 2026-07-24);;;;;;
Kapital per 2026-06-30;3 103 355,00;;;;;
Obetald upplupen ranta;252 476,87;;;;;
TOTALT;3 355 831,87;;;;;
;;;;;;
FALLBACK (forkastad) - ranta endast fran 2024-01-01, historiken orord;;;;;;
Upplupen ranta 2024-2026H1;313 538,30;;;;;
TOTALT enligt fallback;3 416 893,30;;;;;
